"id","name","avatar","images","price","stock","number_of_purchases","description","star","category_id","branch_id","created_at","updated_at"
"1","Đông trùng hạ thảo khô – Sấy thăng hoa Dr Trung","products/PVeLpmsxjLqfMpIH7Ii7Nud6fGbrJx6VFoeNRWkf.webp","products/VPZbfxFzWYBJIAhymRo8TpSptqPonDbIxFea83hd.webp","50000","7","5","<p><i>Đông trùng hạ thảo khô sấy thăng hoa Dr. Trung với hệ thống máy sấy thăng hoa hiện đại (sấy ở -400C) nên hàm lượng dinh dưỡng trong sản phẩm sau sấy giữ được trên 95% so với ban đầu…</i></p>","5","1","1","2025-04-21 09:25:38","2025-05-14 02:53:26"
"2","Chả Cá Thác Lác Tươi","products/xBNQKliAN5oUHvJqkIwPEvWpw3fSBVrpULeh1ceY.jpg","products/R4Z8zGB79tMoYob2uSUtHGQQLUdQxJgDbBtji0aw.jpg","200000","5","2","<p>Cá thát lát có thể để nguyên con chế biến, nhưng nạo ra, ta có món chả ngon tuyệt vời. Với giá trị dinh dưỡng cao, có nhiều công dụng chữa bệnh, cá thát lát là lựa chọn thông minh trong việc chế biến món ngon bổ dưỡng.</p><p>Hầu hết các loại chả đều phải làm từ thịt thật tươi, giã thật kỹ, quết thật nhuyễn, kể cả các loại chả cá. Nhưng có một món chả đặc biệt, phải để cá cho hơi mềm mình bớt tươi thì mới nạo được thịt, và chỉ cần miết thìa vài lần đã có món chả dai giòn, đó là chả làm từ cá thát lát.<br><br>Cá thát lát có tên khoa học là Notopterus, thuộc họ Notopteridae. Thịt cá thát lát dẻo, chắc. Có lẽ cũng chỉ có người Việt mới nghĩ ra cách để cá hơi ""ươn mình"" cho thịt cá mềm ra, rồi lạng hai bên lườn, dùng thìa nạo cá ra làm thành món chả ngon tuyệt vời như thế.<br>Cá thát lát được biết đến không chỉ như một món ăn ngon mà còn là bài thuốc hiệu quả trong việc phòng chữa một số bệnh. Theo Đông y, cá thát lát có vị ngọt, tính bình, không độc, tác dụng bổ khí huyết, bổ thận, tráng dương, trừ phong thấp, giảm đau...</p><p>Cá thát lát khi kết hợp với một số loại rau, củ quả khác nhau thì cho những công dụng chữa bệnh khác nhau. Ví như, kết hợp với mè trắng, cá thát lát có tác dụng giảm suy nhược cơ thể, bổ sung dưỡng chất cho những thai phụ kén ăn và hay mệt mỏi trong thời gian thai nghén. Đem hầm cùng khổ qua lại có lợi đối với những người bị cao huyết áp, tiểu đường, mỡ trong máu. Ngoài ra, cá thát lát nấu với cải bẹ xanh rất tốt cho người suy nhược cơ thể, đau nhức gân cơ, ho hen, đầm suyễn.<br>Với giá trị dinh dưỡng cao, có nhiều công dụng chữa bệnh, cá thát lát là lựa chọn thông mình trong việc chế biến món ngon bổ dưỡng. Xin giới thiệu cùng bạn món Chả cá lá chanh, Cá thát lát cuộn trứng và Canh cá lá giang.</p>","2","1","1","2025-05-07 03:43:43","2025-05-12 03:15:17"
"3","Chả lụa Peco Food","products/RAZyYqwkbNJtL3ISBLM3zc68KWXD24boebiBWm6G.png","products/X4NQbkMhGZM9p439XAb8MWDescl2niwRlOW2eNvv.jpg","125000","0","1","<p><strong>Chả Lụa Peco Food</strong> được sản xuất từ nguồn thịt thảo mộc Pig Eco, theo quy trình khép kín, đảm bảo VSATTP. Đặc biệt sản phẩm nói không với chất bảo quản, chất tạo màu, tạo mùi, hàn the. Sử dụng hoàn toàn 100% các nguyên liệu tự nhiên từ khâu đóng gói mang đến hương vị tuyệt hảo nhất cho món ăn, đảm bảo an toàn cho sứ khỏe của quý khách.</p>","0","1","1","2025-05-07 04:03:30","2025-05-12 03:08:39"
"4","Mực 3 nắng Hạng Huệ","products/ldH0h1Ure6TxFyxus3ZBMwTJooRwXQu5y8XlC6zd.webp","products/Vs2sFaiRcTeKJv0HWmqXNbFrKKxJhkAUHlOqFZen.webp#products/oiA2VzjkRCumpweOi0xqW4GsKDgIMhNqhLbsG0tH.webp","150000","4","2","<p>Mực 3 nắng Hạng Huệ luôn là lựa chọn hàng đầu của khách du lịch khi đến với vùng biển Thanh Khê nói riêng và Đà Nẵng nói chung.&nbsp;Mực 3 nắng chứa nhiều chất dinh dưỡng giúp tăng cường hệ miễn dịch, sức đề kháng. Ngoài ra, mực còn chứa magie, một loại khoáng chất có tác dụng thư giãn thần kinh và cơ bắp. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng.</p>","0","1","3","2025-05-11 11:46:24","2025-05-12 03:01:42"
"5","Cá Bò gai khô Bắc Đẩu","products/buwvrQ9h2uZPmpsB9nlDeQdklCZGaDyqg31u0M8d.webp","products/teAEDqKAoQNCa2hunkKukWIMkrm3Jl9mFZ1r8VuS.webp","280000","0","0","<p>Đối với những người sành ăn thì không thể không biết tới món khô cá bò. Cá bò khô có độ dai, vị ngọt, càng ăn càng ngon ngọt. Từ cá bò khô, ta có thể chế biến được nhiều món ngon cực hấp dẫn như cá bò khô nướng, cá bò khô tẩm mè, gỏi (nộm) cá bò khô … Các món từ cá bò rất phù hợp để nhâm nhi với chút bia hoặc làm các món ăn chơi cũng rất tuyệt.</p><p>quy cách: gói 500gr</p><p>Nguyên liệu để làm cá bò khô chính là cá bò tươi. Cá bò là loài cá sống chủ yếu ở các vùng biển miền Trung hoặc miền Nam nước ta. Thân cá có hình oval dài và dẹp 2 bên với miệng nhọn, dài, mặt nghiêng. Miệng của con lớn lồi lên phía trên, phía dưới lõm. Mang mở một khe nhỏ ở bên của bệ ngực. Khi lột da, nhìn bề ngoài thịt cá khô bóng, có màu trắng trong, ngọt và dai như thịt gà. Đặc biệt xương cá là loại xương sụn, mềm, phù hợp cho những người cần bổ sung canxi cho cơ thể.</p><p>&nbsp;</p><p>Quy cách đóng gói: đóng gói trong túi nhựa.</p><p>Bảo quản: Bảo quản tốt nhất trong ngăn đá tủ lạnh, ngoài ra cũng có thể sử dụng ngăn mát để bảo quản.</p><p>Thời gian sử dụng tốt nhất: Dưới 3 tháng.</p>","0","1","1","2025-05-12 03:32:49","2025-05-12 03:32:49"
"6","Chả cá Cây Sang","products/0s2HLL2Llua09Ni3EIHDB2GsEgejfpf0LyxttEPz.jpg","products/725vwASuI170JEaZM4pnAvkm5yZ8IwOLWcsRC34w.png","100000","6","0","<p>Chả cá Cây Sang được chế biến từ các loại cá tươi ngon, làm sạch, lấy hết xương, da và thêm gia vị, đưa vào máy xay lên cho đến khi đạt độ dai nhất định. Sau khi chả cá đã đạt độ dai ngon nhất định sẽ được lấy ra khỏi máy xay, định hình thành đủ hình dạng: miếng tấm, viên tròn, dẹp đồng xu rồi đem đi chiên hoặc hấp chín, đặc biệt không sử dụng hàn the, được sản xuất hàng ngày, đảm bảo tươi ngon, an toàn vệ sinh thực phẩm. Chả cá có 3 loại: Chả cá chiên, chả cá hấp và chả cá sống.</p>","0","1","1","2025-05-12 03:36:49","2025-05-12 03:36:49"
"7","Bánh tráng Thi Chung","products/da3yc09dqMwVhA1SfCIi0GiPgYaQwSFoBcjJ80sX.webp","products/1J21uZ9bRV3sYTNpfwXLlD8WRAmHDzgaKFtnjbX1.webp#products/nVN9Vddji1uBuletrBgfAyK1suk8RBGEap1iILcw.webp","80000","10","0","<p>Bánh tráng Thi Chung có mè phủ kín hai mặt bánh, khi ăn có hương vị thơm, bùi thật riêng… Miếng bánh đa quê hóa ký ức nặng tình thương của biết bao thế hệ. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng.</p>","0","1","3","2025-05-12 03:50:52","2025-05-12 03:50:52"
"8","Chè Dây Hòa Bắc","products/Q4T0xhsfgI8ti3EkWY42Yee7EJYp7DRdMHHuDFnU.jpg","products/OMGmL4wAyeFWhi9lsdDKeTJSciBt6v8th6yPHjNX.jpg#products/f2iJnNRQxtE8o2Z6WyU1hKOyoaILuYFwdqp2w44w.webp","155000","19","1","<p>Chè Dây Hòa Bắc Loại 1 gói 250gam .</p><p>*Công dụng : Thanh nhiệt cơ thể, viêm tiêu giải độc , kích thích tiêu hóa, dễ ngủ, .Có khả năng điều trị đau dạ dày , tá tràng, đầy hơi, ăn uống khó tiêu.</p><p>*Khối lượng : 250 Gam/gói.</p><p>*Sản phẩm : OCOP Đà Nẵng</p><p>*Nơi sản xuất : Thôn Nam Yên Hòa Bắc Hòa Vang Đà Nẵng.</p><p>*Địa điểm bán hàng : Vũ Đình Long, Thọ Quang Sơn Trà Đà Nẵng</p><p>* Hạn sử dụng :12 tháng kể từ ngày sản xuất</p><p>* Bảo quản : nơi khô ráo thoáng mát</p>","0","1","3","2025-05-12 03:55:27","2025-05-12 04:29:57"
"9","Cá đét khô tẩm gia vị","products/S3OA84qwizCotVWSVeaK1LRCTpGCbpoM7lModx5o.jpg","products/U3rY2XWb4MWhxCoMY6xYoFIV22CgZXwybfsk2FnC.jpg#products/aB0zutnhIDcObfAlA44Mi04g4xzANn3Vyq6oHTum.jpg","150000","9","0","<p><strong>Cá đét tẩm gia vị</strong> vừa giòn, vừa bùi béo, hòa lẫn vị mằn mặn, the the của muối ớt quả thật không thua bất kỳ món sơn hào hải vị nào… Ngồi nơi quán cóc ven đường cùng bạn bè vào ban đêm, cạnh bên bờ sông Hàn lộng gió để thưởng thức món khô cá đét thật thú vị.</p>","0","1","3","2025-05-12 03:58:55","2025-05-12 03:58:55"
"10","Tương ớt rim Y Phụng","products/Y3OUX8FVwzC51BkYKqks2RwUjgRSAwtEm2rjuckQ.webp","products/Xx6KiRlEFYOrdpOeka9VPqEKlWnfIibJvDqxiqLT.webp","85000","14","1","<p>Tương ớt rim Y Phụng rất ngon, có chút vị mặn mặn nhưng chủ đạo vẫn là vị ngọt, rất hợp với các món thuần Việt. Tương ớt rim này còn có vị cay vừa, thích hợp với mực nướng, cá nướng, trộn tré và làm nước chấm, được người tiêu dùng ưa chuộng nhờ hương vị đặc trưng, đậm đà. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng.</p>","0","1","3","2025-05-12 04:01:07","2025-05-12 04:30:38"
